MSSubClass,MSZoning,LotFrontage,LotArea,Street,OverallQual,OverallCond,YearBuilt,YearRemo,TotalBsmtSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,GarageCars,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice
190,0,107,10615,0,3,5,1900,1970,978,1699,2,0,3,2,2,0,74,0,0,0,0,0,8,2009,95000
190,1,85,13600,0,5,5,1900,1950,662,2337,2,0,5,2,2,0,57,0,0,0,0,0,9,2007,90000
70,1,60,9600,0,4,2,1900,1950,1095,1774,2,0,4,2,3,0,0,90,0,0,0,0,5,2006,87000
50,1,63,5000,0,5,4,1900,1950,540,1440,1,0,3,1,1,0,0,77,0,0,0,0,4,2006,79000
70,1,60,10440,0,5,8,1904,2002,650,1539,2,0,3,1,2,70,78,68,0,0,0,0,6,2008,157500
190,1,60,10800,0,6,7,1905,2000,482,1912,2,0,3,2,2,0,25,212,0,0,0,0,4,2008,163000
50,1,60,10320,0,6,7,1906,1995,756,1469,1,0,3,1,1,57,0,239,0,0,0,0,6,2008,135000
50,0,75,45600,0,6,8,1908,1997,907,2358,3,0,5,1,2,486,40,0,0,175,0,0,9,2008,240000
50,0,92,7438,0,5,8,1908,1991,504,1252,1,0,3,1,2,104,0,0,0,0,0,0,6,2006,127000
70,0,60,11414,0,7,8,1910,1993,728,2019,1,0,3,1,2,509,135,0,0,0,0,0,10,2009,167500
50,0,53,5362,0,5,6,1910,2003,661,1250,2,0,3,1,2,242,0,81,0,0,0,0,11,2007,139000
190,1,69,9142,0,6,8,1910,1950,1020,1928,2,0,4,2,1,0,60,112,0,0,0,0,4,2006,137000
190,2,60,7200,0,6,6,1910,1998,1214,2291,2,0,4,2,2,0,0,0,0,99,0,0,11,2007,133900
70,1,60,7740,0,4,7,1910,1950,622,1363,1,0,3,1,2,0,0,0,0,168,0,0,6,2010,125500
190,1,60,10120,0,7,4,1910,1950,925,1889,1,1,4,2,1,0,0,264,0,0,0,0,1,2007,122000
50,1,59,5310,0,6,8,1910,2003,485,1635,1,0,2,1,1,394,0,0,0,0,0,0,6,2006,117000
70,1,60,3600,0,6,7,1910,1993,684,1368,1,0,3,1,1,0,158,0,0,0,0,0,10,2006,114504
50,0,70,11767,0,4,7,1910,2000,560,1346,1,1,2,1,1,168,24,0,0,0,0,0,5,2007,112000
50,1,60,10440,0,5,6,1910,1981,440,1230,1,1,2,1,2,74,0,128,0,0,0,0,5,2009,110000
190,0,70,7000,0,5,7,1910,1991,1117,1347,1,0,3,1,0,85,0,148,0,0,0,0,1,2008,107500
50,1,55,8800,0,4,7,1910,2004,576,1140,1,0,3,1,0,0,160,0,0,0,0,0,6,2010,96500
30,0,67,8777,0,5,7,1910,1950,796,796,1,0,2,1,0,328,0,164,0,0,0,0,5,2008,85000
50,0,58,8410,0,5,3,1910,1996,658,1184,1,0,5,1,0,0,151,0,0,0,0,0,5,2006,81000
50,1,50,5925,0,3,6,1910,1950,600,968,1,0,2,1,0,0,0,0,0,0,0,0,5,2009,37900
70,4,55,8525,0,5,6,1911,1950,940,1964,1,1,4,1,0,0,192,0,0,0,0,0,11,2008,130000
75,0,60,6204,0,4,5,1912,1950,795,2230,1,0,5,1,1,0,188,0,0,0,0,0,3,2006,118500
30,0,40,4280,0,5,6,1913,2002,440,694,1,0,2,1,1,0,0,34,0,0,0,0,3,2007,90350
190,4,60,10896,0,6,7,1914,1995,1440,3395,2,0,8,2,0,0,110,0,0,0,0,0,3,2007,200000
75,1,60,10800,0,7,7,1914,1970,880,1768,1,1,2,1,2,0,341,0,0,0,0,0,10,2006,163000
70,0,96,13132,0,5,5,1914,1950,747,1784,1,1,4,1,1,203,40,0,0,0,0,0,7,2006,138887
75,1,35,6300,0,6,6,1914,2001,742,1484,2,0,3,1,0,0,291,134,0,0,0,0,6,2008,128000
70,1,60,6882,0,6,7,1914,2006,684,1355,1,1,3,1,0,136,0,115,0,0,0,0,3,2007,127000
30,0,45,8248,0,3,3,1914,1950,864,864,1,0,2,1,0,0,0,100,0,0,0,0,9,2008,67000
30,0,45,8212,0,3,3,1914,1950,864,864,1,0,2,1,1,0,0,96,0,0,0,0,6,2010,58500
70,0,63,15576,0,6,7,1915,1976,840,1680,2,0,4,1,1,0,0,160,0,0,0,0,3,2008,177000
70,1,50,2500,0,7,8,1915,2005,910,1826,1,1,4,1,1,0,0,0,0,0,0,0,6,2009,155000
50,1,100,12665,0,5,8,1915,1950,876,1416,1,1,4,1,3,418,0,194,0,0,0,0,6,2008,153900
70,0,60,9550,0,7,5,1915,1970,756,1717,1,0,3,1,3,0,35,272,0,0,0,0,2,2006,140000
70,0,66,6858,0,6,4,1915,1950,806,1647,1,1,4,1,1,0,66,136,0,0,0,0,5,2010,128000
50,1,60,5790,0,3,6,1915,1950,840,1605,2,0,3,2,1,0,0,202,0,0,0,0,5,2010,107400
50,0,60,10410,0,3,4,1915,1950,672,1214,1,0,3,1,3,216,0,160,0,0,0,0,1,2006,105000
50,2,105,8470,0,3,2,1915,1982,1013,1526,1,0,2,1,0,0,0,156,0,0,0,0,10,2009,85000
75,1,65,8850,0,7,6,1916,1950,815,1690,1,0,3,1,1,0,0,330,0,0,0,0,7,2006,144000
50,0,60,10410,0,5,7,1916,1987,660,1656,2,1,3,1,1,0,0,0,140,0,0,0,8,2009,135000
30,1,40,4800,0,4,7,1916,1990,1196,1196,1,0,2,1,2,0,0,0,0,0,0,0,7,2007,109900
70,1,34,4571,0,5,5,1916,1950,624,1344,1,0,4,1,3,0,0,96,0,0,0,0,5,2008,98000
75,1,60,9600,0,6,5,1917,1950,735,2058,1,1,3,1,2,0,0,259,0,0,0,0,4,2008,129500
70,0,86,22420,0,6,6,1918,1950,1370,2624,2,1,4,1,3,0,0,0,0,0,0,0,11,2007,239000
75,0,174,25419,0,8,4,1918,1990,1360,3112,2,0,4,1,2,0,16,552,0,0,512,0,3,2006,235000
50,0,55,7642,0,7,8,1918,1998,912,1426,1,1,3,1,1,0,240,0,0,0,0,0,6,2007,189950
30,0,55,10267,0,6,7,1918,2000,816,838,1,0,2,1,1,0,0,112,0,0,0,0,5,2008,130000
50,0,45,8248,0,5,7,1918,1950,686,1250,1,1,3,1,1,207,0,96,0,0,0,0,7,2006,116000
70,0,60,13515,0,6,6,1919,1950,764,1824,1,0,3,1,2,0,0,126,0,0,0,0,7,2007,180500
50,0,50,9638,0,6,7,1919,1990,804,2447,2,0,4,1,1,272,0,42,0,116,0,0,3,2010,169000
50,1,85,8500,0,5,7,1919,2005,793,1517,2,0,3,1,0,0,0,144,0,0,0,0,8,2007,115000
50,1,60,10440,0,6,7,1920,1950,1510,2792,2,0,5,1,2,0,547,0,0,480,0,1150,6,2008,256000
70,0,54,7588,0,7,6,1920,1950,793,1802,1,1,4,1,1,0,0,40,0,0,0,0,7,2006,200100
75,0,102,15863,0,7,3,1920,1970,824,3082,2,1,5,1,2,136,63,0,0,0,0,0,8,2009,197000
70,1,60,7200,0,7,7,1920,1950,596,1762,1,1,4,1,2,36,0,221,0,0,0,0,10,2006,157000
70,1,59,10690,0,5,7,1920,1997,672,1344,1,0,3,1,1,0,128,218,0,0,0,0,7,2009,147000
70,1,50,9000,0,7,9,1920,1988,650,1482,1,0,3,1,2,0,0,0,0,0,0,0,7,2009,143000
70,1,51,6120,0,5,8,1920,2004,939,1513,1,1,4,1,1,24,0,150,0,0,0,0,5,2007,137500
70,1,60,6155,0,6,8,1920,1999,611,1362,2,0,3,1,2,0,0,84,0,0,0,0,6,2008,128000
30,0,60,10800,0,5,6,1920,1950,1120,1130,1,0,2,1,2,229,0,0,0,0,0,0,6,2006,120000
30,1,59,8263,0,6,5,1920,1950,1012,1012,1,0,2,1,1,0,22,112,0,0,0,0,5,2007,118400
50,1,40,4400,0,6,8,1920,1950,648,1118,1,0,2,1,2,0,0,0,0,0,0,0,10,2006,116000
190,1,33,4456,0,4,5,1920,2008,736,1452,2,0,2,3,0,0,0,102,0,0,0,0,6,2009,113000
50,0,67,12354,0,6,8,1920,2000,684,1196,1,0,3,1,2,0,46,0,0,0,0,800,8,2009,110000
30,1,50,6000,0,4,4,1920,1950,960,960,1,0,2,1,1,0,0,168,0,0,0,0,7,2007,108500
50,2,60,11040,0,4,6,1920,1950,637,1336,1,1,3,1,1,0,47,120,0,0,0,0,9,2006,108000
50,0,90,5400,0,4,6,1920,1950,840,1374,1,0,2,1,1,0,0,198,0,0,0,0,10,2009,105000
75,1,60,7200,0,5,7,1920,1996,530,1111,1,0,3,1,1,0,0,144,0,0,0,0,3,2007,101000
30,0,60,5400,0,5,6,1920,1950,691,691,1,0,2,1,1,0,20,94,0,0,0,0,1,2007,86000
30,0,58,9098,0,4,7,1920,2002,528,605,1,0,2,1,0,0,0,144,0,0,0,0,7,2007,86000
30,0,85,10625,0,5,5,1920,1950,458,835,1,0,2,1,1,0,0,77,0,0,0,400,5,2010,83000
50,1,60,5586,0,6,7,1920,1998,901,1198,1,0,4,1,0,0,98,0,0,0,0,0,9,2008,79900
70,1,60,6402,0,5,5,1920,1950,596,1192,1,0,3,1,1,0,0,137,0,0,0,0,7,2009,78000
50,2,60,7500,0,4,4,1920,1950,698,1128,1,0,2,1,2,30,0,164,0,0,0,0,4,2010,68400
30,1,60,8967,0,5,2,1920,1950,961,1077,1,0,2,1,1,0,0,0,0,0,0,0,11,2007,67000
70,2,50,8500,0,4,4,1920,1950,649,1317,1,0,3,1,1,0,54,172,0,0,0,0,7,2008,40000
30,2,60,7879,0,4,5,1920,1950,720,720,1,0,2,1,0,0,523,115,0,0,0,0,11,2009,34900
30,0,80,13360,0,5,7,1921,2006,876,964,1,0,2,1,2,0,0,44,0,0,0,0,8,2009,163500
50,0,54,7681,0,5,6,1921,1950,731,1343,1,1,3,1,1,192,0,102,0,0,0,0,7,2009,154900
70,1,50,10300,0,7,6,1921,1950,576,1710,2,0,3,1,2,12,11,64,0,0,0,0,4,2010,140000
30,0,60,5400,0,5,6,1921,1968,1073,1073,1,0,2,1,1,0,0,112,0,0,0,0,12,2006,108480
30,1,50,6000,0,5,7,1921,1950,616,616,1,0,2,1,1,0,0,129,0,0,0,0,6,2006,89000
50,1,40,5436,0,4,8,1922,2007,796,1154,1,0,3,1,1,0,96,0,0,0,0,0,5,2010,125500
45,1,58,6380,0,5,6,1922,1950,993,1048,1,0,2,1,1,0,0,116,0,0,0,0,8,2006,113000
30,0,56,4060,0,5,8,1922,1950,864,864,1,0,2,1,0,0,96,0,0,0,0,0,7,2009,99900
30,1,60,9786,0,3,4,1922,1950,1007,1077,1,0,3,1,1,0,100,48,0,0,0,0,5,2006,91000
30,1,40,3636,0,4,4,1922,1950,796,796,1,0,2,1,0,0,0,100,0,0,0,0,1,2008,55000
70,0,144,21384,0,5,6,1923,2004,1324,1576,1,1,3,1,2,0,312,0,0,0,0,0,5,2009,223500
50,0,70,8737,0,6,7,1923,1950,1065,1635,1,1,3,1,2,0,38,0,144,0,0,0,5,2007,210000
50,0,64,13053,0,6,7,1923,2000,833,1848,1,1,4,1,2,0,0,0,0,220,0,0,6,2008,207000
70,0,55,10592,0,6,7,1923,1996,602,1502,1,1,3,1,1,96,0,112,0,53,0,0,8,2007,165000
30,1,84,11340,0,6,5,1923,1950,1200,1200,1,0,4,1,1,0,0,228,0,0,0,0,3,2006,125000
30,1,60,8520,0,5,6,1923,2006,968,968,1,0,2,1,2,0,0,184,0,0,0,0,7,2007,100000
30,0,51,5900,0,4,7,1923,1958,440,869,1,0,2,1,0,0,0,0,0,0,0,0,8,2006,85500
50,0,50,5000,0,5,6,1924,1950,1026,1691,2,0,3,1,1,0,0,242,0,0,0,0,5,2010,127000
50,0,50,7000,0,6,6,1924,1950,617,1310,2,0,2,1,1,0,0,126,0,0,0,0,5,2006,112000
45,1,50,6130,0,5,6,1924,1950,784,784,1,0,2,1,0,0,0,116,0,0,0,0,5,2008,109500
30,0,52,9022,0,5,8,1924,2006,768,792,1,0,2,1,1,316,0,120,0,0,0,0,5,2009,109500
50,0,60,9738,0,5,7,1924,1950,784,1221,1,0,4,1,1,0,0,236,0,0,0,0,3,2006,104900
30,1,60,6911,0,5,5,1924,1950,1145,1301,1,0,2,1,2,0,0,0,0,0,0,0,10,2009,100000
50,0,55,7264,0,7,7,1925,2007,952,1548,2,1,3,1,2,74,0,0,0,144,0,0,10,2009,205000
50,0,60,9120,0,7,6,1925,1950,1026,1820,2,0,4,1,1,0,100,0,0,0,0,0,6,2008,184000
70,1,60,9600,0,7,7,1925,1990,728,1641,1,1,3,1,2,0,0,234,0,0,0,0,8,2006,178000
50,0,51,6171,0,6,6,1925,1990,976,1608,2,1,3,1,1,147,16,0,0,0,0,0,10,2009,137450
50,1,60,9600,0,5,8,1925,1994,702,1472,1,0,3,1,1,0,0,84,0,0,0,0,7,2007,125000
50,1,50,6000,0,5,8,1925,1997,884,1348,1,0,3,1,1,0,0,208,0,0,0,0,5,2009,117000
30,1,50,6000,0,6,6,1925,1980,1103,1103,1,0,2,1,2,166,120,0,0,0,0,0,7,2006,110500
70,1,57,9906,0,4,4,1925,1950,686,1328,1,0,3,1,1,0,172,60,0,0,0,0,9,2006,107000
70,4,54,6629,0,6,6,1925,1950,672,1369,2,0,3,1,1,147,0,0,0,0,0,0,7,2009,103600
30,1,52,6240,0,4,5,1925,1950,780,1208,1,0,2,1,2,0,23,112,0,0,0,0,1,2009,103000
30,1,51,6120,0,5,7,1925,1950,768,1015,1,0,3,1,1,0,0,112,0,120,0,620,7,2006,88000
40,1,40,5400,0,6,7,1926,2004,1149,1616,2,0,3,1,1,0,0,183,0,0,0,0,10,2007,152000
45,1,50,6000,0,6,7,1926,2004,884,904,1,0,2,1,1,0,0,105,0,0,0,0,1,2009,119000
50,0,60,6000,0,5,5,1926,1950,1008,1522,2,0,4,1,0,0,0,138,0,0,0,0,6,2006,102000
30,1,60,6180,0,6,5,1926,1950,960,986,1,0,2,1,1,0,128,0,0,0,0,0,5,2007,102000
30,0,52,5825,0,4,5,1926,1953,600,747,1,0,1,1,2,0,0,32,0,0,0,0,6,2006,79900
30,1,60,6324,0,4,6,1927,1950,520,520,1,0,1,1,1,49,0,87,0,0,0,0,5,2008,68500
30,0,60,10800,0,4,6,1927,2007,656,968,2,0,4,1,1,0,0,0,0,0,0,0,8,2007,64500
70,1,60,9600,0,7,9,1928,2005,689,1378,2,0,3,1,2,0,0,116,0,0,0,0,10,2008,161000
50,1,52,6240,0,5,6,1928,1950,1042,1576,1,0,3,1,1,0,0,0,0,0,0,0,8,2006,149000
50,0,65,7804,0,4,3,1928,1950,1122,1981,2,0,4,1,2,431,44,0,0,0,0,0,12,2009,135000
30,1,60,8520,0,6,8,1928,2003,624,720,1,0,2,1,2,106,0,0,0,0,0,0,5,2010,105900
45,4,60,9000,0,6,3,1928,1950,784,784,1,0,2,1,2,0,0,91,0,0,0,0,10,2009,76000
50,1,50,5500,0,5,7,1929,2001,926,1316,1,0,3,1,2,0,0,0,0,0,0,0,4,2010,130000
50,1,50,6000,0,6,7,1929,1950,862,1158,1,0,3,1,1,0,0,112,0,0,0,0,7,2008,120000
50,1,52,6240,0,5,7,1930,1992,1078,1573,2,0,3,1,2,0,0,0,0,0,0,0,6,2008,162900
45,1,57,7449,0,7,7,1930,1950,637,1108,1,0,3,1,1,0,0,205,0,0,0,0,6,2007,139400
30,1,70,5684,0,6,8,1930,2005,813,813,1,0,2,1,1,0,113,0,0,0,0,0,6,2006,110000
30,0,52,6292,0,6,5,1930,1950,768,790,1,0,2,1,1,0,141,0,0,0,0,0,4,2008,91000
45,1,55,4388,0,5,7,1930,1950,672,840,1,0,3,1,0,0,0,0,0,0,0,0,6,2007,87000
50,1,52,9439,0,5,5,1930,1950,912,1248,1,0,2,1,1,0,0,192,0,0,0,0,3,2007,87000
40,1,50,9100,0,5,6,1930,1960,742,935,1,0,2,1,1,0,0,0,0,0,0,600,8,2008,79500
190,1,70,5600,0,4,5,1930,1950,0,1092,2,0,3,2,0,0,0,0,0,0,0,3500,7,2010,55000
70,0,60,7200,0,7,6,1931,2000,776,1502,1,1,3,1,1,0,0,112,0,0,0,0,2,2008,149000
50,1,52,6240,0,6,6,1931,1950,884,1367,1,0,3,1,1,0,0,0,0,120,0,0,11,2007,127500
30,1,51,6120,0,5,7,1931,1993,715,875,1,0,2,1,1,48,0,0,0,0,0,0,11,2009,105000
70,0,70,10570,0,8,8,1932,1994,853,2727,2,1,3,1,2,0,74,0,0,0,0,0,12,2007,315000
70,0,80,16560,0,6,8,1932,1950,952,2345,2,1,4,1,2,0,0,0,0,0,0,0,7,2006,239000
50,4,55,4500,0,5,5,1932,2000,793,1520,1,0,3,1,1,0,0,56,0,0,0,0,7,2009,159434
70,0,78,12168,0,8,6,1934,1998,965,3194,2,1,4,1,2,0,0,0,0,0,0,0,9,2007,359100
70,0,74,11988,0,6,7,1934,1995,715,1660,1,1,3,1,1,0,0,0,0,0,0,0,8,2008,188700
50,1,52,6240,0,6,6,1934,1950,816,1176,1,0,3,1,2,112,0,0,0,0,0,400,9,2006,114500
50,1,51,6120,0,4,7,1935,1995,884,1573,1,0,3,1,1,0,0,54,0,120,0,0,7,2009,133000
190,1,60,6780,0,6,8,1935,1982,520,754,1,0,2,1,0,53,0,0,0,0,0,0,6,2006,84500
30,2,120,18000,1,3,4,1935,1950,894,894,1,0,2,1,3,0,20,0,0,0,0,560,8,2008,81000
50,0,86,11500,0,7,7,1936,1987,1017,2057,1,1,3,1,1,0,0,0,0,322,0,0,6,2006,250000
50,0,60,10800,0,5,8,1936,1989,796,1466,2,0,3,1,2,436,21,0,0,0,0,500,4,2006,170000
70,0,60,7200,0,7,9,1936,2007,560,1135,1,0,3,1,2,256,0,0,0,0,0,0,4,2009,155000
50,1,51,6120,0,5,6,1936,1950,927,1539,1,1,3,1,2,112,0,0,0,0,0,0,4,2009,141500
50,1,50,6000,0,4,6,1936,1950,672,1324,1,0,3,1,1,0,0,0,0,0,0,0,7,2009,128000
50,0,51,10480,0,6,5,1936,1950,1064,1639,1,0,3,1,1,0,0,0,0,0,0,0,3,2008,115000
30,1,50,8765,0,4,6,1936,1950,951,951,1,0,2,1,1,0,28,0,0,0,0,0,4,2006,106500
30,1,51,6120,0,2,3,1936,1950,264,800,1,0,1,1,0,0,0,0,0,0,0,0,1,2009,60000
50,0,60,7200,0,5,7,1937,1950,731,1768,1,1,3,1,1,0,0,264,0,0,0,0,6,2007,175000
50,1,50,9000,0,6,6,1937,1950,780,1375,1,1,3,1,1,0,162,0,0,126,0,0,12,2007,141000
50,1,50,6000,0,6,9,1937,2000,698,1176,1,0,2,1,2,210,0,0,0,0,0,0,7,2009,134900
50,1,50,8600,0,6,6,1937,1950,780,1376,2,0,3,1,1,0,0,0,0,0,0,0,6,2006,119500
30,1,50,5925,0,4,7,1937,2000,907,1131,1,0,2,1,2,0,72,0,0,0,0,0,3,2007,89471
50,1,60,7200,0,5,6,1938,1995,803,1360,1,1,2,1,1,0,65,190,0,0,0,0,7,2006,125500
30,0,50,6305,0,5,7,1938,1950,920,954,1,0,2,1,1,0,0,0,0,0,0,0,6,2007,119750
20,0,67,8877,0,4,6,1938,1958,816,816,1,0,2,1,1,0,0,0,0,0,0,0,5,2009,100000
30,1,50,5784,0,5,8,1938,1996,190,886,1,0,2,1,1,144,20,80,0,0,0,0,12,2009,91300
75,0,60,8400,0,5,8,1939,1997,720,2192,2,1,4,1,1,262,24,0,0,0,0,0,7,2008,179500
50,0,65,6435,0,6,5,1939,1950,972,1577,1,0,3,1,1,0,0,0,0,0,0,0,10,2006,140200
50,1,50,6000,0,6,6,1939,1950,780,1412,1,0,4,1,1,45,0,0,0,0,0,0,5,2009,132500
190,1,65,7800,0,5,7,1939,1950,793,1118,1,0,3,1,2,0,0,0,0,271,0,0,5,2006,119900
190,0,50,7420,0,5,6,1939,1950,991,1077,1,0,2,2,1,0,4,0,0,0,0,0,1,2008,118000
50,0,60,9060,0,6,5,1939,1950,560,1258,1,0,2,1,1,0,0,0,0,0,0,0,10,2009,105000
50,1,50,6060,0,4,5,1939,1950,732,1123,1,0,3,1,1,0,0,140,0,0,0,0,6,2007,100000
70,0,75,13125,0,7,6,1940,1984,800,1740,1,1,3,1,1,0,0,0,0,0,0,0,7,2007,219500
50,0,130,9600,0,5,7,1940,1950,728,1308,1,1,2,1,1,0,70,0,0,0,0,0,6,2009,160000
50,0,75,12508,0,6,7,1940,1985,983,1750,2,0,4,1,1,245,0,156,0,0,0,1300,7,2008,160000
50,0,60,8400,0,6,5,1940,2000,940,1595,1,0,2,1,1,0,0,108,0,0,0,0,6,2006,140000
50,0,60,9900,0,6,7,1940,1950,778,1489,2,0,3,1,1,335,0,0,0,0,0,0,7,2009,139500
190,0,62,10106,0,5,7,1940,1999,644,1355,2,0,4,2,0,140,0,0,0,0,0,0,9,2008,127500
50,0,60,8160,0,5,6,1940,1950,756,1134,1,1,3,1,1,0,0,0,0,0,0,0,4,2007,126000
30,1,60,7200,0,5,7,1940,1992,788,804,1,0,2,1,1,0,0,154,0,0,0,0,2,2010,119000
50,0,60,10134,0,5,6,1940,1950,735,1034,1,0,2,1,1,0,39,0,0,0,0,0,7,2007,109000
70,0,60,9084,0,4,5,1940,1950,755,1510,1,0,4,1,1,120,0,0,0,0,0,0,10,2009,108000
30,0,60,10200,0,5,8,1940,1997,672,672,1,0,2,1,1,168,0,0,0,0,0,0,8,2008,108000
30,0,63,13907,0,5,6,1940,1969,996,996,1,0,3,1,0,144,0,0,0,0,0,0,7,2008,108000
30,0,50,5330,0,4,7,1940,1950,420,708,1,0,2,1,0,164,0,0,0,0,0,0,12,2009,82500
30,0,55,5350,0,3,2,1940,1966,728,1306,1,0,3,1,0,263,0,0,0,0,0,450,5,2010,76500
70,0,66,9042,0,7,9,1941,2006,1152,2340,2,0,4,1,1,0,60,0,0,0,0,2500,5,2010,266500
70,0,75,12000,0,7,7,1941,1950,704,1564,1,1,3,1,1,0,0,0,0,0,0,0,7,2009,174500
75,0,53,7128,0,7,5,1941,1950,918,1646,2,0,4,1,1,0,0,0,0,126,0,0,8,2007,164000
50,0,79,9490,0,6,7,1941,1950,806,1578,1,0,3,1,1,0,0,32,0,0,0,0,8,2006,133000
50,1,60,6000,0,6,6,1941,1950,735,1218,1,0,3,1,2,0,0,0,0,0,0,0,3,2007,131000
50,0,60,10998,0,5,5,1941,1960,984,1604,2,0,3,1,2,0,68,0,0,0,0,0,7,2009,117000
30,0,50,9340,0,4,6,1941,1950,672,672,1,0,2,1,1,0,113,0,0,0,0,0,8,2009,113000
50,0,79,9492,0,5,5,1941,1950,768,1376,1,0,3,1,1,0,0,0,0,0,0,0,4,2007,105000
50,0,60,9084,0,5,6,1941,1950,616,1111,1,0,3,1,1,48,0,0,0,0,0,0,3,2008,95000
45,1,50,5000,0,5,6,1941,1950,720,803,1,0,2,1,2,0,0,244,0,0,0,0,12,2007,87000
190,0,60,12180,0,4,4,1941,1950,672,924,1,0,2,1,1,0,0,0,0,0,0,0,7,2010,80000
50,1,52,5720,0,5,6,1941,1950,676,1131,1,1,3,1,1,26,0,0,0,0,0,0,8,2009,66500
30,1,153,4118,0,4,4,1941,1950,693,693,1,0,2,1,0,0,20,0,0,0,0,0,3,2006,52500
70,0,79,9480,0,5,7,1942,1995,728,1644,1,1,3,1,1,168,0,0,0,0,0,0,6,2007,146500
70,0,61,7259,0,6,8,1945,2002,1028,2320,2,1,3,1,1,224,0,0,0,0,0,0,7,2007,259500
50,0,52,8741,0,6,4,1945,1950,735,1487,1,1,3,1,1,0,140,0,0,0,0,0,4,2010,113000
30,1,40,3880,0,5,9,1945,1997,686,866,1,0,2,1,0,58,42,0,0,0,0,0,8,2007,110500
50,0,50,8405,0,4,3,1945,1950,0,1529,2,0,4,1,1,92,0,185,0,0,0,0,4,2009,98000
30,1,47,4608,0,4,6,1945,1950,747,747,1,0,2,1,1,0,0,0,0,0,0,0,6,2010,80000
50,0,138,18030,0,5,6,1946,1994,1598,3086,3,0,3,1,0,122,0,0,0,0,0,0,3,2007,200500
90,4,82,7136,0,6,6,1946,1950,979,1958,2,0,4,2,2,0,0,0,0,0,0,0,8,2007,145000
60,1,60,3378,0,7,8,1946,1992,651,1389,1,1,3,1,1,0,0,126,0,0,0,0,9,2009,135000
50,0,70,11767,0,5,6,1946,1995,768,1200,1,0,3,1,1,0,0,0,0,0,0,0,5,2008,130500
50,0,51,4712,0,4,7,1946,1950,747,1230,1,1,3,1,1,0,57,0,0,63,0,0,8,2006,121600
20,0,60,11100,0,4,7,1946,2006,0,930,1,0,2,1,1,0,0,0,0,0,0,0,4,2010,84900
20,0,50,5000,0,1,3,1946,1950,0,334,1,0,1,1,0,0,0,0,0,0,0,0,1,2007,39300
50,1,50,5000,0,6,7,1947,1950,1004,1664,2,0,3,1,2,0,24,36,0,0,0,0,10,2006,159000
50,0,80,8480,0,5,5,1947,1950,832,1216,1,0,2,1,1,158,0,102,0,0,0,0,10,2008,118500
20,0,50,9405,0,5,9,1947,2008,698,698,1,0,2,1,0,0,200,0,0,0,0,0,6,2009,118000
